fromdate,eventtype,alertlevel,country
"Mon, 01 Jun 2020 00:00:00 GMT",drought,Orange,"Mexico, United States"
"Wed, 11 Mar 2020 00:00:00 GMT",drought,Green,Australia
"Thu, 21 May 2020 00:00:00 GMT",drought,Green,United States
"Sat, 21 Mar 2020 00:00:00 GMT",drought,Orange,"Lesotho, South Africa"
"Sat, 21 Mar 2020 00:00:00 GMT",drought,Green,"Belgium, Germany, France, Luxembourg, Netherlands"
"Sat, 21 Mar 2020 00:00:00 GMT",drought,Orange,"Malawi, Mozambique"
"Sat, 21 Dec 2019 00:00:00 GMT",drought,Orange,"Bolivia, Brazil"
"Fri, 21 Jun 2019 00:00:00 GMT",drought,Green,Argentina
"Wed, 21 Nov 2018 00:00:00 GMT",drought,Green,"Cambodia, Laos, Myanmar, Thailand, Vietnam"
"Tue, 06 Oct 2020 10:11:46 GMT",earthquake,Green,Fiji
"Mon, 05 Oct 2020 21:00:00 GMT",cyclone,Green,
"Sun, 04 Oct 2020 21:00:00 GMT",cyclone,Red,"Mexico, United States"
"Tue, 29 Sep 2020 09:00:00 GMT",cyclone,Green,
"Tue, 06 Oct 2020 08:47:01 GMT",earthquake,Green,Indonesia
"Tue, 06 Oct 2020 06:27:35 GMT",earthquake,Green,Japan
"Tue, 06 Oct 2020 06:13:40 GMT",earthquake,Green,China
"Sun, 04 Oct 2020 18:00:00 GMT",cyclone,Green,Japan
"Tue, 06 Oct 2020 05:54:50 GMT",earthquake,Green,United States
"Tue, 06 Oct 2020 05:06:39 GMT",earthquake,Green,Chile
"Tue, 06 Oct 2020 04:24:58 GMT",earthquake,Green,Northern Mid-Atlantic Ridge
"Fri, 02 Oct 2020 15:00:00 GMT",cyclone,Green,"Mexico, Cuba"
"Tue, 06 Oct 2020 00:16:46 GMT",earthquake,Green,Indonesia
"Thu, 21 Nov 2019 00:00:00 GMT",Volcanic eruption,Green,Ecuador
"Mon, 05 Oct 2020 23:43:21 GMT",earthquake,Green,Kashmir-Xizang Border Region
"Mon, 05 Oct 2020 19:04:00 GMT",earthquake,Green,
"Mon, 05 Oct 2020 19:01:27 GMT",earthquake,Green,Antarctica
