tweet_user_name,tweet_user_screen,follower_count,user_created,tweet_count,following_status,friends_count,favourites_count,description,user_verified,user_time_zone,user_location,user_tweet,hash_tag,tweet_source,location_from_tweets,tweet_sentiment_polarity,tweet_sentiment_subjectivity,match_ratio,country_partial_match_ratio,token_sort_match_ratio,token_set_match_ratio,location_from_tweets_match_ratio,location_from_tweets_country_partial_match_ratio,location_from_tweets_token_sort_match_ratio,location_from_tweets_token_set_match_ratio,input_disaster_location,input_disaster
Shari-Lynn 🇧🇲,shaeyd,1702,Tue Oct 06 14:39:29 +0000 2020,72345,False,2377,33883,"Mother, Partner, Friend. LGBTQ and Human Rights Advocate. Agitator. Human to #IAmSmudge Co-Host @TheDailyHour Tues & Thurs 8am Atlantic",False,,Bermuda,RT @philklotzbach: #Delta has intensified by 70 mph (from 40 mph to 110 mph) in its first 24 hours since becoming a named storm.  This is t…,Delta,Twitter Web App,Delta,0.35,0.5916666666666667,5,29,5,6,18,20,18,18,Mexico,cyclone
Nixag4,nixag4,44,Tue Oct 06 14:39:00 +0000 2020,5785,False,478,18442,,False,,,RT @philklotzbach: #Delta has intensified by 70 mph (from 40 mph to 110 mph) in its first 24 hours since becoming a named storm.  This is t…,Delta,Twitter for Android,Delta,0.35,0.5916666666666667,5,29,5,6,18,20,18,18,Mexico,cyclone
Nishan Bilazarian,nishmanweather,252,Tue Oct 06 14:38:56 +0000 2020,45535,False,213,56680,"Learn each day. Passions of wx, environmental adv, watersheds, NBA, one legged storm chaser. Life’s too short to not have fun! BLM! Jesus=Savior, God Bless u!",False,,Boston area,RT @philklotzbach: #Delta has intensified by 70 mph (from 40 mph to 110 mph) in its first 24 hours since becoming a named storm.  This is t…,Delta,Twitter for iPhone,Delta,0.35,0.5916666666666667,5,29,5,6,18,20,18,18,Mexico,cyclone
Deborah Diane,DeborahDian,5250,Tue Oct 06 14:38:29 +0000 2020,87271,False,5722,77452,"http://t.co/TH9bEQHsRS * One of Top 100 Retirement Blogs in World  * 6 Amazon books incl. ""Your Guide to a Fabulous Las Vegas Wedding""",False,,"Orange County, California",RT @Monica_Wilcox: If you’ve breathed smoke filled air in the West this summer or are cleaning up from a #hurricane in the Gulf or are till…,hurricane,Twitter for Android,Gulf,0.4,0.9,5,50,13,15,0,0,0,0,Mexico,cyclone
Nishan Bilazarian,nishmanweather,252,Tue Oct 06 14:37:12 +0000 2020,45535,False,213,56680,"Learn each day. Passions of wx, environmental adv, watersheds, NBA, one legged storm chaser. Life’s too short to not have fun! BLM! Jesus=Savior, God Bless u!",False,,Boston area,RT @wxjerdman: Radar loop of the core of #Hurricane #Delta bypassing Grand Cayman. (Source: Cayman Islands National Weather Service) https:…,"Hurricane,Delta",Twitter for iPhone,Grand Cayman,0.5,1.0,6,36,14,15,11,22,11,11,Mexico,cyclone
Chester Lampkin WUSA 9,chesterlampkin,10996,Tue Oct 06 14:36:08 +0000 2020,118427,False,2539,108212,"Meteorologist @wusa9 in DC. Hello DMV! Love family/friends, weather, geography, Cardinals, SLU, & Mizzou. I lived in New Zealand. STL native.",True,,"Washington, DC",RT @wxjerdman: Radar loop of the core of #Hurricane #Delta bypassing Grand Cayman. (Source: Cayman Islands National Weather Service) https:…,"Hurricane,Delta",TweetDeck,Grand Cayman,0.5,1.0,6,36,14,15,11,22,11,11,Mexico,cyclone
PAS Claims,PASClaims,71,Tue Oct 06 14:36:05 +0000 2020,289,False,272,11,PAS Claims provides Back Office Claim Processing to Insurance Restoration Contractors.    Supplements | Claim Management | Invoicing | A/R Assistance,False,,"Arizona, USA","Residential Roofing Satellite Reports.
$27.50.  Order yours today.
https://t.co/rEYIc5vm8l

#satellitereport… https://t.co/rcFHIQtmND",satellitereport,Zoho Social,,0.0,0.0,7,29,4,5,0,0,0,0,Mexico,cyclone
Robert Redmayne Hosking,redmayne_robert,4891,Tue Oct 06 14:35:48 +0000 2020,110179,False,5381,187162,Animal/Nature/Wildlife Conservationist/🌿Global Climate Activist/Climate Justice Campaigner. 🌎🌍🌏🌿@Fridays4future 🗣️📢 #LetsKeepFossilFuelsInTheGround,False,,TELFORD UK,"RT @chriscartw83: Meet #Delta
 Already cat 2
Over the warmest waters of the caribbean....

#ClimateCrisis #hurricane 
#climatechange #Globa…","Delta,ClimateCrisis,hurricane,climatechange,Globa",Twitter for Android,"Delta,caribbean",0.0,0.0,10,36,14,15,19,17,10,10,Mexico,cyclone
A xxx A,oma_oma_1,349,Tue Oct 06 14:35:46 +0000 2020,183543,False,1009,162436,‏‏‏‏العاصفة,False,,المملكة العربية السعودية,RT @pppapin: The tiny core of #Hurricane #Delta is coming into view of the Cayman Islands radar. You can see the tiny inner core with the e…,"Hurricane,Delta",Twitter for iPhone,"Delta,Cayman Islands",0.0,0.3888888888888889,8,43,11,13,15,33,8,8,Mexico,cyclone
Matt Devitt,MattDevittWINK,6487,Tue Oct 06 14:35:44 +0000 2020,23593,False,1896,21641,@WINKNews AM Meteorologist ☀️⛈🌴 | Penn State Meteorology | Florida Born & Raised | Weathernerd | Beach Bum,False,,Fort Myers / Southwest FL,RT @wxjerdman: Radar loop of the core of #Hurricane #Delta bypassing Grand Cayman. (Source: Cayman Islands National Weather Service) https:…,"Hurricane,Delta",Twitter Web App,Grand Cayman,0.5,1.0,6,36,14,15,11,22,11,11,Mexico,cyclone
